,id,mac,type,rssi,rssiOrigin,deviceId,gatewayId,gatewayLogId,raw,createdAt,updatedAt
3411,7171364,dd3c23d9f3fa,0,56,200,12826,3,131490,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:05,2020-04-07 12:41:06
3412,7174465,dd3c23d9f3fa,0,57,199,12826,3,131490,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:05,2020-04-07 12:41:15
3413,7175875,dd3c23d9f3fa,0,56,200,12826,3,131490,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:05,2020-04-07 12:41:05
3414,7175903,dd3c23d9f3fa,0,57,199,12826,3,131490,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:05,2020-04-07 12:41:05
3415,7176997,dd3c23d9f3fa,0,70,186,12826,3,131510,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:09,2020-04-07 12:41:09
3416,7175927,dd3c23d9f3fa,0,70,186,12826,3,131510,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:09,2020-04-07 12:41:20
3417,7178579,dd3c23d9f3fa,0,70,186,12826,3,131522,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:12,2020-04-07 12:41:12
3418,7175282,dd3c23d9f3fa,0,58,198,12826,3,131531,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:14,2020-04-07 12:41:18
3419,7179466,dd3c23d9f3fa,0,58,198,12826,3,131531,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:14,2020-04-07 12:41:14
3420,7179786,dd3c23d9f3fa,0,64,192,12826,3,131535,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:15,2020-04-07 12:41:15
3421,7179569,dd3c23d9f3fa,0,57,199,12826,3,131540,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:16,2020-04-07 12:41:16
3422,7176064,dd3c23d9f3fa,0,57,199,12826,3,131540,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:16,2020-04-07 12:41:20
3423,7175179,dd3c23d9f3fa,0,70,186,12826,3,131544,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:17,2020-04-07 12:41:18
3424,7180534,dd3c23d9f3fa,0,70,186,12826,3,131544,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:17,2020-04-07 12:41:17
3425,7181627,dd3c23d9f3fa,0,64,192,12826,3,131556,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:19,2020-04-07 12:41:19
3426,7181674,dd3c23d9f3fa,0,62,194,12826,3,131561,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:20,2020-04-07 12:41:20
3427,7178626,dd3c23d9f3fa,0,62,194,12826,3,131561,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:20,2020-04-07 12:41:28
3428,7181917,dd3c23d9f3fa,0,66,190,12826,3,131581,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:24,2020-04-07 12:41:38
3429,7185060,dd3c23d9f3fa,0,66,190,12826,3,131581,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:24,2020-04-07 12:41:24
3430,7181109,dd3c23d9f3fa,0,57,199,12826,3,131596,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:27,2020-04-07 12:41:35
3431,7184994,dd3c23d9f3fa,0,57,199,12826,3,131596,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:27,2020-04-07 12:41:27
3432,7179746,dd3c23d9f3fa,0,85,171,12826,4,131607,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:29,2020-04-07 12:41:29
3433,7186804,dd3c23d9f3fa,0,59,197,12826,3,131620,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:32,2020-04-07 12:41:32
3434,7182208,dd3c23d9f3fa,0,59,197,12826,3,131621,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:32,2020-04-07 12:41:38
3435,7188621,dd3c23d9f3fa,0,59,197,12826,3,131621,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:32,2020-04-07 12:41:32
3436,7188521,dd3c23d9f3fa,0,65,191,12826,3,131646,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:37,2020-04-07 12:41:37
3437,7182467,dd3c23d9f3fa,0,65,191,12826,3,131646,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:37,2020-04-07 12:41:39
3438,7189254,dd3c23d9f3fa,0,67,189,12826,3,131651,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:38,2020-04-07 12:41:38
3439,7185746,dd3c23d9f3fa,0,67,189,12826,3,131651,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:38,2020-04-07 12:41:49
3440,7188919,dd3c23d9f3fa,0,64,192,12826,3,131654,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:39,2020-04-07 12:41:39
3441,7188178,dd3c23d9f3fa,0,64,192,12826,3,131654,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:39,2020-04-07 12:41:56
3442,7187357,dd3c23d9f3fa,0,66,190,12826,3,131664,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:41,2020-04-07 12:41:54
3443,7191278,dd3c23d9f3fa,0,66,190,12826,3,131664,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:41,2020-04-07 12:41:41
3444,7192065,dd3c23d9f3fa,0,90,166,12826,3,131681,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:44,2020-04-07 12:41:44
3445,7187974,dd3c23d9f3fa,0,90,166,12826,3,131681,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:44,2020-04-07 12:41:56
3446,7191489,dd3c23d9f3fa,0,65,191,12826,3,131680,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:44,2020-04-07 12:41:44
3447,7191595,dd3c23d9f3fa,0,64,192,12826,3,131685,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:45,2020-04-07 12:42:05
3448,7186278,dd3c23d9f3fa,0,60,196,12826,3,131685,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:45,2020-04-07 12:41:50
3449,7191963,dd3c23d9f3fa,0,60,196,12826,3,131685,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:45,2020-04-07 12:41:45
3450,7191985,dd3c23d9f3fa,0,64,192,12826,3,131685,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:45,2020-04-07 12:41:45
3451,7195261,dd3c23d9f3fa,0,69,187,12826,3,131720,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:53,2020-04-07 12:41:53
3452,7194299,dd3c23d9f3fa,0,69,187,12826,3,131720,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:53,2020-04-07 12:42:14
3453,7195740,dd3c23d9f3fa,0,62,194,12826,3,131731,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:56,2020-04-07 12:41:56
3454,7194615,dd3c23d9f3fa,0,62,194,12826,3,131731,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:56,2020-04-07 12:42:15
3455,7198475,dd3c23d9f3fa,0,68,188,12826,3,131744,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:59,2020-04-07 12:41:59
3456,7196996,dd3c23d9f3fa,0,68,188,12826,3,131744,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:41:59,2020-04-07 12:42:23
3457,7196418,dd3c23d9f3fa,0,60,196,12826,3,131762,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:42:03,2020-04-07 12:42:20
3458,7199361,dd3c23d9f3fa,0,60,196,12826,3,131762,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:42:03,2020-04-07 12:42:03
3459,7199230,dd3c23d9f3fa,0,63,193,12826,3,131763,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:42:03,2020-04-07 12:42:03
3460,7201358,dd3c23d9f3fa,0,58,198,12826,3,131768,0201061aff4c000215b5b182c7eab14988aa99b5c1517008d90001faf3c5,2020-04-07 12:42:04,2020-04-07 12:42:04
